Feature,AQI_Importance,Fan_Importance
Humidity,0.18699638145030664,0.18699638145030664
Heat_Stress,0.17591579518108513,0.17591579518108513
MQ2_Raw,0.15003710249817562,0.15003710249817562
Gas_Index,0.12842819124353846,0.12842819124353846
MQ2_MQ3_Ratio,0.1233697987752243,0.1233697987752243
MQ3_Raw,0.12106975788874291,0.12106975788874291
Temperature,0.11418297296292701,0.11418297296292701
